author,published_at,updated_at,like_count,text
@MY-px9ob,2024-01-23T03:23:21Z,2024-01-23T03:23:21Z,0,"Apasih kapasitas si jovi dovi, over excited bgt"
@dimasramaditya1423,2024-01-22T17:07:16Z,2024-01-22T17:07:16Z,0,😂😂😂
@FushimiInarichan,2024-01-22T15:33:55Z,2024-01-22T15:33:55Z,0,Paslon 01 dan 03 nyiapinnya data dan fakta. Paslon 02 nyiapinnya istilah&quot; rumit yang menjebak lawan debat. Kwkkwkwk
@sandigustiana,2024-01-22T08:29:07Z,2024-01-22T08:33:36Z,7,"Timestamp<br><br>Segmen 1<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=5048"">1:24:08</a> Ganjar Pranowo<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=5308"">1:28:28</a> Anies Baswedan<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=5578"">1:32:58</a> Prabowo Subianto<br><br>Segmen 2<br><br>Pertanyaan 1<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=6433"">1:47:13</a> Anies Baswedan<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=6566"">1:49:26</a> Prabowo Subianto<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=6643"">1:50:43</a> Ganjar Pranowo<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=6717"">1:51:57</a> Anies Baswedan<br><br>Pertanyaan 2<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=6898"">1:54:58</a> Prabowo Subianto<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=7027"">1:57:07</a> Ganjar Pranowo<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=7100"">1:58:20</a> Anies Baswedan<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=7178"">1:59:38</a> Prabowo Subianto<br><br>Pertanyaan 3<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=7343"">2:02:23</a> Ganjar Pranowo<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=7478"">2:04:38</a> Anies Baswedan<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=7556"">2:05:56</a> Prabowo Subianto<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=7628"">2:07:08</a> Ganjar Pranowo<br><br>Segmen 3<br><br>Pertanyaan 1<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=8283"">2:18:03</a> Prabowo Subianto<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=8428"">2:20:28</a> Ganjar Pranowo<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=8503"">2:21:43</a> Anies Baswedan<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=8579"">2:22:59</a> Prabowo Subianto<br><br>Pertanyaan 2<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=8738"">2:25:38</a> Ganjar Pranowo<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=8876"">2:27:56</a> Anies Baswedan<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=8949"">2:29:09</a> Prabowo Subianto<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=9024"">2:30:24</a> Ganjar Pranowo<br><br>Pertanyaan 3<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=9193"">2:33:13</a> Anies Baswedan<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=9328"">2:35:28</a> Prabowo Subianto<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=9403"">2:36:43</a> Ganjar Pranowo<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=9478"">2:37:58</a> Anies Baswedan<br><br>Segmen 4<br>Tanya Jawab 1<br><br>Tanya 03 - Jawab 01<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=10064"">2:47:44</a> Ganjar Pranowo<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=10132"">2:48:52</a> Anies Baswedan<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=10264"">2:51:04</a> Ganjar Pranowo<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=10336"">2:52:16</a> Anies Baswedan<br><br>Tanya 01 - Jawab 02<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=10425"">2:53:45</a> Anies Baswedan<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=10480"">2:54:40</a> Prabowo Subianto<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=10622"">2:57:02</a> Anies Baswedan<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=10694"">2:58:14</a> Prabowo Subianto<br><br>Tanya 02 - Jawab 03<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=10778"">2:59:38</a> Prabowo Subianto<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=10838"">3:00:38</a> Ganjar Pranowo<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=10963"">3:02:43</a> Prabowo Subianto<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=11035"">3:03:55</a> Ganjar Pranowo<br><br>Segmen 5<br>Tanya Jawab 2<br><br>Tanya 01 - Jawab 03<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=11566"">3:12:46</a> Anies Baswedan<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=11627"">3:13:47</a> Ganjar Pranowo<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=11752"">3:15:52</a> Anies Baswedan<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=11820"">3:17:00</a> Ganjar Pranowo<br><br>Tanya 02 - Jawab 01<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=11898"">3:18:18</a> Prabowo Subianto<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=11969"">3:19:29</a> Anies Baswedan<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=12106"">3:21:46</a> Prabowo Subianto<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=12186"">3:23:06</a> Anies Baswedan<br><br>Tanya 03 - Jawab 02<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=12283"">3:24:43</a> Ganjar Pranowo<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=12350"">3:25:50</a> Prabowo Subianto<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=12482"">3:28:02</a> Ganjar Pranowo<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=12556"">3:29:16</a> Prabowo Subianto<br><br>Segmen 6<br>Pernyataan Penutup<br><br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=13080"">3:38:00</a> Prabowo Subianto<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=13221"">3:40:21</a> Ganjar Pranowo<br><a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=13355"">3:42:35</a> Anies Baswedan<br><br>Semoga timestamp ini bermanfaat"
@RickyQosim,2024-01-22T07:36:58Z,2024-01-22T07:36:58Z,1,Gw bru sdr ternyata china msih termask negara berkembang....gw kira udh negara maju....<br>Pdhal udh menyanyingi AS ....<br>berarti gw slh dong selama ini menganggap china negara maju😢😢😢😢
@ohayouchi_,2024-01-21T16:36:46Z,2024-01-21T16:37:13Z,0,"<a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=15783"">4:23:03</a> semangat mas sehat selalu yang udah berani speak up tentang debat capres ini, di suruh menilai sesuai perseptif dari diri sendiri malah dikomen"
@dinantilja6434,2024-01-21T15:08:34Z,2024-01-21T15:08:34Z,0,AAMIIN  AJA DULU👍👍👍👍❤️❤️❤️❤️
@arkfamily8189,2024-01-21T15:08:24Z,2024-01-21T15:08:24Z,0,Debat cawapres skrng pertanyaan nya Susah2 GA ngarti rakyat nya woi
@dinantilja6434,2024-01-21T15:05:48Z,2024-01-21T15:05:48Z,2,AAMIIN  AJA DULU👍👍👍👍❤️❤️❤️❤️
@abdilbarilbasith7363,2024-01-21T14:21:10Z,2024-01-21T14:21:10Z,0,bakal nanya dg singkat waktu
@rahimuddinhidayat8911,2024-01-21T13:54:56Z,2024-01-21T13:54:56Z,0,1
@user-op2kt5zj4b,2024-01-21T13:40:59Z,2024-01-21T13:40:59Z,1,"Utk hilirisasi digital, serius nanya contoh produk sblm hilirisasi sama stlh hilirisasi seperti apa? Sama contoh konkret programnya spt apa?"
@yusufpamungkas8828,2024-01-21T12:55:00Z,2024-01-21T12:55:00Z,1,Amin#1
@DonaldTruks,2024-01-21T12:24:22Z,2024-01-21T12:24:22Z,1,"Panelis segitu banyak, dan pakar2 di bidang nya tapo disitu nggak ngapa2in.. Terus kira2 gunanya buat apa ya ? Seharusnya mereka memberikan pendapat, tentang hasil debat ini. Jadi masyarakat tahu mana yang menguasai materi dan mana yg hanya omon omon nggak ada isinya. <br>Sama satu lagi, masing2 cawapres harus diperiksa ttg alat2 yg mereka pakai."
@intanpertamasari5764,2024-01-21T12:07:01Z,2024-01-21T12:07:01Z,0,BU KHOFIFAHHH
@albysthryze9888,2024-01-21T11:49:05Z,2024-01-21T11:49:05Z,1,"Maaf saya kurang banyak tahu tentang politik, hanya berpendapat. Kenapa harus ada treshold yg membuat, calon presiden ditetapkan oleh pimpinan partai? <br>Seandainya calon  presidennya pak Mahfud (yg sekali lagi, menurut pendapat pribadi, dikenal baik, jujur, pandai, bukan petugas partai) lebih mudah untuk menentukan pilihan"
@indahdhibra,2024-01-21T11:42:49Z,2024-01-21T11:42:49Z,0,✌👆🤙
@ozzanaufal,2024-01-21T11:39:22Z,2024-01-21T11:39:22Z,0,Yg punya akal sehat ya pasti punya pertanyaan 1+2 = GAMA ...
@mohammadjailani6298,2024-01-21T02:50:41Z,2024-01-21T02:50:41Z,0,tetap pak nes baswedan
@user-fx9fu5vp6h,2024-01-20T15:19:00Z,2024-01-20T15:19:00Z,1,yuk debat terbuka yok ditunggu banget nih di narasi tv
@dwiputrinurfaiza,2024-01-20T14:12:38Z,2024-01-20T14:12:38Z,0,Kita bisa melihat pasangan mna yang bounding nya kuat dan tidak 😊
@raflysetiawan363,2024-01-20T06:19:06Z,2024-01-20T06:19:06Z,1,"kontennya keren banget, sangat membantu masyarakat untuk membuka pandangannya dalam memilih capres 2024 dengan visi dan misi terbaiknya, semoga terlaksana semua aamiin"
@puspitaoky,2024-01-19T13:10:03Z,2024-01-19T13:10:03Z,0,Kenapa ga Indonesia aja yg bisa menjual alutsista yang berumur muda? Malah kita yg mjd pembeli
@bintangdharma3616,2024-01-19T03:36:00Z,2024-01-19T03:37:55Z,0,"<a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=11990"">3:19:50</a> pak anis semua negara di dunia belum bisa menghilangkan penipuan online, di amerika dan korea setau saya jauh lebih banyak kasus penipuan daripada indonesia, kasus penipuan online bukan dari pencegahan pemimpin saja tapi juga rakyatnya apa bisa rakyat milyaran ini yang memiliki kepribadian yang berbeda beda dijadikan 0 berpikir tentang menipu, bapak sendiri pasti pernah menipu entah kecil kecilan. negara maju saja belum bisa menghilangkan penipuan online 100% dan saya kira memang tidak bisa karena orang ada yang memilih jalan tersebut sebagai pekerjaan saat oknum satu ditangkap masih banyak orant lain yang umurnya masih panjang bisa dari yang tidak mau menipu jadi berubah pikiran untuk melakukan penipuan. realistis saja jangan menuntut hal yang tidak bisa diusahakan dengan usaha keras saja tapi juga ini tergantung mindset perorangan rakyat apakah mereka mau menipu atau tidak, apabila penipu dilaporkan pasti dicari oleh aparat dan ditangkap tapi penipuan akan selalu ada kapanpun"
@user-kj2iv2mm7q,2024-01-18T19:50:50Z,2024-01-18T19:50:50Z,1,Semangat pak prabowo✌
@ahmadhasansaifulrizalhasan5979,2024-01-18T17:21:07Z,2024-01-18T17:21:07Z,1,"aku orang awam gk tau tentang ini, bukan nya debat capres itu yg harus di bicarakan tentang GAGASAN dan VISI MISI ya???? <br>Ingat, ada rahasia negara yang emang bole di buka &amp; ada juga yang harus di tutup... Tertutup bkn berarti tidak mau transparan loh"
@ahmadhasansaifulrizalhasan5979,2024-01-18T15:49:09Z,2024-01-18T15:49:09Z,6,"Salut dgn Pak Prabowo, meskipun dia di serang dia tetap diam dan tersenyum meskipun kata&quot; mereka menyayat hati<br><a href=""http://www.youtube.com/results?search_query=%23semangat"">#semangat</a> pak Prabowo, saya yakin bapak pasti berhasil (amin)"
@johanwahyudi976,2024-01-18T02:16:57Z,2024-01-18T02:16:57Z,1,Prbowo♡
@lutfincom3857,2024-01-17T16:51:38Z,2024-01-17T16:51:38Z,0,"<a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=13125"">3:38:45</a>"
@Luke_5312,2024-01-17T08:44:27Z,2024-01-17T08:44:27Z,0,Salam perubahan<br>Yang suka keadaan sekarang dan yang suka joget joget lanjutin aja
@rayyaou3657,2024-01-17T07:48:26Z,2024-01-17T07:48:26Z,0,Prabowo kok ga jelas wkwk
@nandaria5481,2024-01-17T05:39:58Z,2024-01-17T05:39:58Z,0,O
@muhammadhanan82047,2024-01-17T02:55:22Z,2024-01-17T03:03:43Z,0,"khusus untuk org2 yg ingin kinerja Jokowi dilanjutkan, gw kasih tau ya, alasan kenapa kita harus pilih Ganjar dari pd pilih Prabowo...<br><br>1.Prabowo itu sudah tua, umurnya udah 70 thn/lebih, jd sulit untuk pergi kesana kemari kayak Jokowi, harus ke negara ini, ke negara itu... Prabowo akan mudah capek, kasian.<br>kalau Gibran yg disuruh, iya sih dia muda tapi kurang pengalaman takutnya malah jd bahan intimidasi pepimpin2 barat dan pemimpin2 lain. lebih baik pilih Ganjar, lebih muda, gk jauh beda sama Jokowi.<br><br>2.pak Ganjar dan pak Mahfud itu org yg jelas paling berpengalaman, rekam jejaknya jelas, berintegritas, dan yg paling penting akan memberantas korupsi<br><br>3.pak Ganjar didukung oleh banyak org2 baik dan keren2 seperti pak Andika Perkasa (mantan panglima TNI), bu Yenny Wahid, dan menteri2<br>seperti Retno Marsudi, Sri Mulyani, Sandiaga Uno, pak Basuki (menteri PUPR), pak Erick Thohir (Menteri BUMN), dan Pak Profesor Mahfud MD sendiri yg menjadi wakil pak Ganjar. org2 baik dan keren banyak yg mendukung pak Ganjar."
@lutfincom3857,2024-01-17T02:16:43Z,2024-01-17T16:01:59Z,0,"<a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=10767"">2:59:27</a> ETIKA WKWKW, gak pantes bicara soal etik😅"
@afie9469,2024-01-16T17:05:05Z,2024-01-16T17:05:05Z,0,"<a href=""https://www.youtube.com/watch?v=Sbjsg3AFx00&amp;t=9254"">2:34:14</a> suara apa itu ya kok kyk ngos ngosan gt"
@riyajikk6857,2024-01-16T12:19:07Z,2024-01-16T12:19:07Z,0,gasuka ada penonton bayaran distudio syutingnya mba nana
@Laodeerfin017,2024-01-16T05:43:44Z,2024-01-16T05:43:44Z,0,"Kita sdh tdk tahu mana debat yg serang personal dan mana yg tidak. Kadarnya serangannya tentu berbeda. Ada yg emosi karena di kasi nilai 11 dari 100. Ada yg berusaha tetap tenang karena dibilang cuman &quot;omon² doang&quot;. Padahal tanpa disadari, &quot;omon² doang&quot; itu nilanya = NOL (0). Kita kemudian merasa ibah dgn orang yg diberikan nilai 11 dari 100. Lalu membeci orang yg diberikan nilai &quot;0&quot; yg katanya cuman omong doank. Pikiran macam apa ini? Sudah hilangkah kewarasan itu?"
@Chirtod,2024-01-16T04:03:42Z,2024-01-16T04:03:42Z,0,gege
@vivokandis8682,2024-01-15T21:12:17Z,2024-01-15T21:12:17Z,0,"Najwa Shihab sayang ku 🌹😭🤧, maaf kan aku data ku sudah habis.jaringan internet ku gak bagus nih! aku Sayang kepada Mu, aku cinta padamu ."
@user-xn3mn2bk1d,2024-01-15T17:01:37Z,2024-01-15T17:01:37Z,0,"Baru lihat niih..progam idolaku dulu,,dn brharap juga pilihan capresnya sama,,jug mndukung kearifan kata dan bahasa juga kearifan demokrasi,,prabowo gibran tampa banyak bicara dn  hasud cukup dg krja nyata rakyat udah trjawab dn faham"
@sukronfirdaus2711,2024-01-15T15:55:40Z,2024-01-15T15:55:40Z,0,Prabowo kek NPC😂
@blammaks0191,2024-01-15T13:12:30Z,2024-01-15T13:12:30Z,1,"PERHATIAN!!! <br>Buat seluruh masyarakat Indonesia yang masih ragu menentukan pilihan presiden RI terkhusus bagi kaum milenial dan gen Z. Saya akan memberikan gambaran sederhana<br><br>Kita ibarat kan ketiga paslon ini orang yang ngelamar kerja posisi presiden dan kita (Rakyat) adalah HRD yang akan menyeleksi calon pelamar tersebut.... <br><br>Hal yang di perlukan dalam seleksi tersebut yaitu<br>1. Harus buat CV (mencakup biodata serta pengalaman dan prestasi yang telah dilalui) <br>2. SKCK (Catatan baik/buruk) <br>3. Tahap interview/wawancara (adu gagasan visi misi/ debat KPU) + tes psikologi (mencakup kesehatan fisik, mental, dan emosional) <br><br>Itulah gambaran sederhana untuk memilih calon pemimpin untuk Indonesia. Jadi buat Seluruh Masyarakat Indonesia Cerdaslah dalam menyeleksi calon pelamar dan gunakan hak suara anda sebaik mungkin karna ini menyangkut masa depan kita selama 5 tahun kedepan... <br>Sekian..."
@AkunbroZ,2024-01-15T13:07:05Z,2024-01-15T13:07:05Z,0,Luar biasa
@AkunbroZ,2024-01-15T13:05:24Z,2024-01-15T13:05:24Z,0,Sukses
@user-bm1un5ok6t,2024-01-15T08:17:44Z,2024-01-15T08:17:44Z,0,Mba nana belain prabowo
@user-bm1un5ok6t,2024-01-15T08:17:03Z,2024-01-15T08:17:03Z,0,"Kayanya mba,nana belain prabowo"
@DaunOfficial,2024-01-15T01:03:27Z,2024-01-15T01:03:27Z,0,Ambisi pribadi = pak wowo 1x cawapres 3x capres
@kanzialam,2024-01-14T23:58:05Z,2024-01-14T23:58:05Z,0,"Terima kasih mba najwa dan team, untuk orang awam seperti saya yang sulit mencari data sebuah kebenaran. Saya bisa liat di website. Semoga tetap terjaga kepercayaannya dan tidak memihak kepada siapapun."
@rotanindofurniture2767,2024-01-14T16:29:46Z,2024-01-14T16:29:46Z,0,Prabowo Gibran Yes
@erwinoktama,2024-01-14T16:23:28Z,2024-01-14T16:23:28Z,0,3
@rhardim6127,2024-01-14T16:19:57Z,2024-01-14T16:19:57Z,0,"Kenyataannya debat capres dinegara demokrasi tidak hanya sebatas program tetapi juga pribadi bahkan keluarganya, untuk memastikan mendapatkan pemimpin yang mempunyai gagasan dan bersih."
@rotanindofurniture2767,2024-01-14T16:06:06Z,2024-01-14T16:06:06Z,0,Prabowo is the best
@enggarjati3822,2024-01-14T15:43:27Z,2024-01-14T15:43:27Z,0,"&quot;KALAU MENGGUNAKAN ISTILAH, MAKA HARUS DI JELASKAN &quot; Seolah&quot; menutupi kesalahan 02 di debat cawapres kemarin agar debat cawapres ke 2 tidak di balas dengan istilah singkatan lagi... Luar biasa caranya KPU 😅"
@Allisee105,2024-01-14T14:20:24Z,2024-01-14T14:20:24Z,2,"Ganjar saya nilai Nol Kecil, sedangkan Anies Nol Besar ."
@muhammadumarabdulaziz5901,2024-01-14T13:08:56Z,2024-01-14T13:08:56Z,0,JUSTRU LU WO YANG TIDAK BERHAK BICARA ETIK DAN MEMBERI CONTOH ETIK TIDAK BAIK
@sitisofiatussaadah1841,2024-01-14T12:53:19Z,2024-01-14T12:53:19Z,0,Mbak nana hari ini gk live?
@chofifahlutfunnisa1341,2024-01-14T12:53:09Z,2024-01-14T12:53:09Z,1,"Anis ngmngin Palestina wkw pdhl yg bulak balik ngurus Prabowo, anis ngapain"
@chofifahlutfunnisa1341,2024-01-14T12:34:50Z,2024-01-14T12:34:50Z,0,"Anis ga mikirin keamanan negara, <br>Membahayakan"
@mehere8511,2024-01-14T11:14:33Z,2024-01-14T11:14:33Z,0,"Aduh byk janji gratis ini, kasih kemakmuran buat ini itu. Saya hanya minta jgn koropsi, tebas smua korupsi, negara jangan ngutang lagi, uang korupsi cukup utk bayar hutang. Yg ngutang negara, yg bayar rakyat. Yang kaya org2 pemerintahan. Apa kabar orang2 miskin? Makmurin org2 dlam jg?"
